Entry,Exp_Rate_Constant k1 (M-1s-1),Substrate SMILES,Nucleophile SMILES,Product SMILES,Reaction SMILES,Temp (K),Activation Free Energy (kcalmol-1),Reference,Year,Title,Authors,DOI,Book_Page,Table,Nucleophile,Leaving Group,Solvent,logk,Entry IDs of Duplicates,Model_Flag
148,0.00096,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,CCCN,CCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.CCCN>>CCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],298,21.53,"J. Chem. Soc., 1950, 507-516",1950,The reaction between amines and 1-chloro-2 : 4-dinitrobenzene,"Brady, O. L.; Cropper, F. R.",https://doi.org/10.1039/JR9500000507,,1,n-propylamine,Cl,Ethanol,-3.02,,modelled
149,0.0168,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,Nc1ccccc1,O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.Nc1ccccc1>>O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,323,21.56,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,Analine,F,Ethanol,-1.77,,modelled
150,0.000269,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Nc1ccccc1,O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Nc1ccccc1>>O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,323,24.21,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,Analine,Cl,Ethanol,-3.57,,modelled
151,0.000405,O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1,Nc1ccccc1,O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1.Nc1ccccc1>>O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,323,23.95,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,Analine,Br,Ethanol,-3.39,,modelled
152,0.0000197,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Nc1cccc(Cl)c1,O=[N+]([O-])c1ccc(Nc2cccc(Cl)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Nc1cccc(Cl)c1>>O=[N+]([O-])c1ccc(Nc2cccc(Cl)c2)c([N+](=O)[O-])c1,323,25.88,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,p-chloroanaline,Cl,Ethanol,-4.71,,modelled
153,0.0000219,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Nc1cccc(Br)c1,O=[N+]([O-])c1ccc(Nc2cccc(Br)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Nc1cccc(Br)c1>>O=[N+]([O-])c1ccc(Nc2cccc(Br)c2)c([N+](=O)[O-])c1,323,25.82,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,p-bromoanaline,Cl,Ethanol,-4.66,,modelled
154,0.0000632,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Nc1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Nc2ccc(Cl)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Nc2ccc(Cl)cc2)c([N+](=O)[O-])c1,323,25.14,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,m-chloroanaline,Cl,Ethanol,-4.2,,modelled
155,0.0000544,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,Nc1ccc(Br)cc1,O=[N+]([O-])c1ccc(Nc2ccc(Br)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Nc1ccc(Br)cc1>>O=[N+]([O-])c1ccc(Nc2ccc(Br)cc2)c([N+](=O)[O-])c1,323,25.23,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,m-bromoanaline,Cl,Ethanol,-4.26,,modelled
156,0.00231,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,Nc1cccc(Cl)c1,O=[N+]([O-])c1ccc(Nc2cccc(Cl)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.Nc1cccc(Cl)c1>>O=[N+]([O-])c1ccc(Nc2cccc(Cl)c2)c([N+](=O)[O-])c1,323,22.83,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,p-chloroanaline,F,Ethanol,-2.64,,modelled
157,0.00166,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,Nc1cccc(Br)c1,O=[N+]([O-])c1ccc(Nc2cccc(Br)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.Nc1cccc(Br)c1>>O=[N+]([O-])c1ccc(Nc2cccc(Br)c2)c([N+](=O)[O-])c1,323,23.04,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,p-bromoanaline,F,Ethanol,-2.78,,modelled
158,0.000546,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,Nc1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Nc2ccc(Cl)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Nc2ccc(Cl)cc2)c([N+](=O)[O-])c1,323,23.75,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,m-chloroanaline,F,Ethanol,-3.26,,modelled
159,0.00049,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,Nc1ccc(Br)cc1,O=[N+]([O-])c1ccc(Nc2ccc(Br)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1.Nc1ccc(Br)cc1>>O=[N+]([O-])c1ccc(Nc2ccc(Br)cc2)c([N+](=O)[O-])c1,323,23.82,"J. Chem. Soc, 3301 (1951)",1951,Nucleophilic displacement of fluorine from organic compounds. Part I. Kinetics of the reactions of 1-fluoro-2 : 4-dinitrobenzene with primary aromatic amines,"Chapman, N. B.;Parker, R. E.",https://doi.org/10.1039/JR9510003301,,4,m-bromoanaline,F,Ethanol,-3.31,,modelled
160,0.000965,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,FC(F)(F)C1CCCNC1,O=[N+]([O-])c1ccc(N2CCCC(C(F)(F)F)C2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.FC(F)(F)C1CCCNC1>>O=[N+]([O-])c1ccc(N2CCCC(C(F)(F)F)C2)c([N+](=O)[O-])c1,298,21.53,"Aromatic Nucleophilic Substitution (Reaction Mechanisms in Organic Chemistry, Monograph 8) Edited by C. Eaborn and N. B. Chapman,",1968,Aromtaic Nucleophilic Substitution,"Miller, J.",,206,Table 49 (P. 207),3-(trifluoromethyl)piperidine,Cl,Ethanol,-3.02,,modelled
161,0.00283,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,FC(F)(F)C1CCNCC1,O=[N+]([O-])c1ccc(N2CCC(C(F)(F)F)CC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.FC(F)(F)C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCC(C(F)(F)F)CC2)c([N+](=O)[O-])c1,298,20.9,"Aromatic Nucleophilic Substitution (Reaction Mechanisms in Organic Chemistry, Monograph 8) Edited by C. Eaborn and N. B. Chapman,",1968,Aromtaic Nucleophilic Substitution,"Miller, J.",,206,Table 49 (P. 207),4-(trifluoromethyl)piperidine,Cl,Ethanol,-2.55,,modelled
162,0.00417,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,C1COCCN1,O=[N+]([O-])c1ccc(N2CCOCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1COCCN1>>O=[N+]([O-])c1ccc(N2CCOCC2)c([N+](=O)[O-])c1,298,20.67,"Aromatic Nucleophilic Substitution (Reaction Mechanisms in Organic Chemistry, Monograph 8) Edited by C. Eaborn and N. B. Chapman,",1968,Aromtaic Nucleophilic Substitution,"Miller, J.",,206,Table 49 (P. 207),Morpholine,Cl,Ethanol,-2.38,,modelled
163,0.0274,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,C1CNCCN1,O=[N+]([O-])c1ccc(N2CCNCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1CNCCN1>>O=[N+]([O-])c1ccc(N2CCNCC2)c([N+](=O)[O-])c1,298,19.55,"Aromatic Nucleophilic Substitution (Reaction Mechanisms in Organic Chemistry, Monograph 8) Edited by C. Eaborn and N. B. Chapman,",1968,Aromtaic Nucleophilic Substitution,"Miller, J.",,206,Table 49 (P. 207),Piperazine,Cl,Ethanol,-1.56,,modelled
164,0.046,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,C1CCNC1,O=[N+]([O-])c1ccc(N2CCCC2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C1CCNC1>>O=[N+]([O-])c1ccc(N2CCCC2)c([N+](=O)[O-])c1,298,19.25,"Aromatic Nucleophilic Substitution (Reaction Mechanisms in Organic Chemistry, Monograph 8) Edited by C. Eaborn and N. B. Chapman,",1968,Aromtaic Nucleophilic Substitution,"Miller, J.",,206,Table 49 (P. 207),Pyrrolidine,Cl,Ethanol,-1.34,11,failed
165,0.0117,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F,COc1ccc(N)cc1,COc1ccc(Nc2c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc2S(=O)(=O)C(F)(F)F)cc1,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F.COc1ccc(N)cc1>>COc1ccc(Nc2c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc2S(=O)(=O)C(F)(F)F)cc1,298,20.06,"Int J Chem Kinet., 2010; 42;  203-210.",2010,Activation of the aromatic system by the SO2CF3 group: Kinetics study and structure–reactivity relationships,"Guesmi, Nizar El; Boubaker, Taoufik;Goumont, Régis",https://doi.org/10.1002/kin.20446,,1,Analine,Methoxide,Methanol,-1.93,332,modelled
166,0.00814,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F,Cc1ccc(N)cc1,Cc1ccc(Nc2c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc2S(=O)(=O)C(F)(F)F)cc1,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F.Cc1ccc(N)cc1>>Cc1ccc(Nc2c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc2S(=O)(=O)C(F)(F)F)cc1,298,20.27,"Int J Chem Kinet., 2010; 42;  203-210.",2010,Activation of the aromatic system by the SO2CF3 group: Kinetics study and structure–reactivity relationships,"Guesmi, Nizar El; Boubaker, Taoufik;Goumont, Régis",https://doi.org/10.1002/kin.20446,,1,Analine,Methoxide,Methanol,-2.09,333,modelled
167,0.00501,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F,Nc1ccccc1,O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)c(Nc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F.Nc1ccccc1>>O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)c(Nc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1,298,20.56,"Int J Chem Kinet., 2010; 42;  203-210.",2010,Activation of the aromatic system by the SO2CF3 group: Kinetics study and structure–reactivity relationships,"Guesmi, Nizar El; Boubaker, Taoufik;Goumont, Régis",https://doi.org/10.1002/kin.20446,,1,Analine,Methoxide,Methanol,-2.3,334,modelled
168,0.00468,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F,Nc1ccc(F)cc1,O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)c(Nc2ccc(F)cc2)c(S(=O)(=O)C(F)(F)F)c1,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F.Nc1ccc(F)cc1>>O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)c(Nc2ccc(F)cc2)c(S(=O)(=O)C(F)(F)F)c1,298,20.6,"Int J Chem Kinet., 2010; 42;  203-210.",2010,Activation of the aromatic system by the SO2CF3 group: Kinetics study and structure–reactivity relationships,"Guesmi, Nizar El; Boubaker, Taoufik;Goumont, Régis",https://doi.org/10.1002/kin.20446,,1,Analine,Methoxide,Methanol,-2.33,,modelled
169,0.00203,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F,Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)c(Nc2ccc(Cl)cc2)c(S(=O)(=O)C(F)(F)F)c1,COc1c(S(=O)(=O)C(F)(F)F)cc([N+](=O)[O-])cc1S(=O)(=O)C(F)(F)F.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)c(Nc2ccc(Cl)cc2)c(S(=O)(=O)C(F)(F)F)c1,298,21.09,"Int J Chem Kinet., 2010; 42;  203-210.",2010,Activation of the aromatic system by the SO2CF3 group: Kinetics study and structure–reactivity relationships,"Guesmi, Nizar El; Boubaker, Taoufik;Goumont, Régis",https://doi.org/10.1002/kin.20446,,1,Analine,Methoxide,Methanol,-2.69,,modelled
170,0.0323,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Nc1ccccc1,O=[N+]([O-])c1cnc(Nc2ccccc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Nc1ccccc1>>O=[N+]([O-])c1cnc(Nc2ccccc2)c([N+](=O)[O-])c1,298,19.46,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-1.49,,modelled
171,0.3341,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,COc1ccc(N)cc1,COc1ccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.COc1ccc(N)cc1>>COc1ccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,298,18.07,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-0.48,,modelled
172,0.134,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Cc1ccc(N)cc1,Cc1ccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Cc1ccc(N)cc1>>Cc1ccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,298,18.61,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-0.87,,modelled
173,0.0051,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Nc1ccc(Cl)cc1,O=[N+]([O-])c1cnc(Nc2ccc(Cl)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1cnc(Nc2ccc(Cl)cc2)c([N+](=O)[O-])c1,298,20.55,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-2.29,,modelled
174,0.006,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Nc1ccc(Br)cc1,O=[N+]([O-])c1cnc(Nc2ccc(Br)cc2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Nc1ccc(Br)cc1>>O=[N+]([O-])c1cnc(Nc2ccc(Br)cc2)c([N+](=O)[O-])c1,298,20.45,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-2.22,,modelled
175,0.0011,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,CC(=O)c1ccc(N)cc1,CC(=O)c1ccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.CC(=O)c1ccc(N)cc1>>CC(=O)c1ccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,298,21.45,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-2.96,,modelled
176,0.0307,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,COc1cccc(N)c1,COc1cccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.COc1cccc(N)c1>>COc1cccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c1,298,19.49,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-1.51,,modelled
177,0.0485,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Cc1cccc(N)c1,Cc1cccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Cc1cccc(N)c1>>Cc1cccc(Nc2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c1,298,19.21,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-1.31,,modelled
178,0.0023,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Nc1cccc(Cl)c1,O=[N+]([O-])c1cnc(Nc2cccc(Cl)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Nc1cccc(Cl)c1>>O=[N+]([O-])c1cnc(Nc2cccc(Cl)c2)c([N+](=O)[O-])c1,298,21.02,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-2.64,,modelled
179,0.0028,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,Nc1cccc(Br)c1,O=[N+]([O-])c1cnc(Nc2cccc(Br)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1.Nc1cccc(Br)c1>>O=[N+]([O-])c1cnc(Nc2cccc(Br)c2)c([N+](=O)[O-])c1,298,20.9,"J. Phys. Org. Chem. 2000, 13, (2000), 549–554",2000,"Kinetics of the reaction of 2-chloro-3,5-dinitropyridine with meta- and para-substituted anilines in methanol","El Hegazy, Fatma El-Zahraa M.;Abdel Fattah, Soheir Z.;Hamed, Ezzat A.;Sharaf, Saber M.",https://onlinelibrary.wiley.com/doi/abs/10.1002/1099-1395%28200009%2913%3A9%3C549%3A%3AAID-POC297%3E3.0.CO%3B2-5,,3,Analine,Cl,Methanol,-2.55,,modelled
180,1.54575E-06,Fc1nc(F)c(F)c(Cl)c1F,N,Nc1nc(F)c(F)c(Cl)c1F,Fc1nc(F)c(F)c(Cl)c1F.N>>Nc1nc(F)c(F)c(Cl)c1F,298,25.34,"J. Phys. Chem. A , 120, (2016), 10023?10032",2016,Local Electron Attachment Energy and Its Use for Predicting Nucleophilic Reactions and Halogen Bonding,"Brinck, Tore;Carlqvist, Peter;Stenlid, Joakim H.",https://doi.org/10.1021/acs.jpca.6b10142,,Table1_a,Ammonia,F,Dioxane:Water (60:40 v/v),-5.81,,modelled
181,5.90329E-06,Fc1cc(Cl)c(F)c(F)n1,N,Nc1cc(Cl)c(F)c(F)n1,Fc1cc(Cl)c(F)c(F)n1.N>>Nc1cc(Cl)c(F)c(F)n1,298,24.55,"J. Phys. Chem. A , 120, (2016), 10023?10032",2016,Local Electron Attachment Energy and Its Use for Predicting Nucleophilic Reactions and Halogen Bonding,"Brinck, Tore;Carlqvist, Peter;Stenlid, Joakim H.",https://doi.org/10.1021/acs.jpca.6b10142,,Table1_b,Ammonia,F,Dioxane:Water (60:40 v/v),-5.23,,modelled
182,5.06789E-05,Fc1nc(F)c(F)nc1F,N,Nc1nc(F)c(F)nc1F,Fc1nc(F)c(F)nc1F.N>>Nc1nc(F)c(F)nc1F,298,23.27,"J. Phys. Chem. A , 120, (2016), 10023?10032",2016,Local Electron Attachment Energy and Its Use for Predicting Nucleophilic Reactions and Halogen Bonding,"Brinck, Tore;Carlqvist, Peter;Stenlid, Joakim H.",https://doi.org/10.1021/acs.jpca.6b10142,,Table1_c,Ammonia,F,Dioxane:Water (60:40 v/v),-4.3,,modelled
183,0.000682328,Fc1nc(F)c(F)c(F)c1F,N,Nc1c(F)c(F)nc(F)c1F,Fc1nc(F)c(F)c(F)c1F.N>>Nc1c(F)c(F)nc(F)c1F,298,21.74,"J. Phys. Chem. A , 120, (2016), 10023?10032",2016,Local Electron Attachment Energy and Its Use for Predicting Nucleophilic Reactions and Halogen Bonding,"Brinck, Tore;Carlqvist, Peter;Stenlid, Joakim H.",https://doi.org/10.1021/acs.jpca.6b10142,,Table1_d,Ammonia,F,Dioxane:Water (60:40 v/v),-3.17,,modelled
